cycle_idx,final_stage_name,stage2_rmse,stage2_mae,stage2_p95,stage2_p99,stage2_max_abs,shape_drift_rmse,shape_drift_mae,shape_drift_max_abs,shape_drift_mean_signed,shape_drift_std_signed,stage3b_rmse,stage3b_mae,stage3b_p95,stage3b_p99,stage3b_max_abs,R0_stage3b,thetaZ_l2_norm,thetaZ_max_abs,thetaZ_c0,R0_stage2,stage3a_rmse,stage3a_mae,stage3a_p95,stage3a_p99,stage3a_max_abs,stage3b_available,thetaZ_stage3b_l2_norm,thetaZ_stage3b_max_abs,thetaA_hat_1,thetaA_hat_2,thetaA_hat_3,thetaA_hat_4,thetaA_hat_5,thetaA_hat_6,thetaA_hat_7,Dn_over_Rn2,Dp_over_Rp2,De_over_eps_L1_sq,De_over_eps_L12_intf_sq,De_over_eps_L2_sq,De_over_eps_L23_intf_sq,De_over_eps_L3_sq,thetaB_hat_8,thetaB_hat_9,thetaB_hat_10,thetaB_hat_11
11,stage3b,0.0092319956100778,0.00647511434960485,0.018897482768626794,0.02815415912470216,0.03766166523570469,1.7397213742819856e+74,6.095704373776515e+73,8.241954463745223e+74,5.588192389890147e+70,1.7397212845322836e+74,0.018958692903960177,0.013938506187165092,0.03529429401425532,0.0623996839952628,0.07672208798468505,0.046398563269653435,1.674346410652032,1.6679981272511382,-1.6679981272511382,0.04787535036791775,0.048582708968513515,0.04208267088871244,0.07629518736316432,0.09569742769488365,0.09643000963402326,True,1.7020503511808642,1.6972398937922988,0.001058576322190442,0.001058576322190442,1.9543527635557612,1.0294678149745025,2.8249536873119956,1.0294678149745025,1.9543527635557612,0.001058576322190442,0.001058576322190442,1.9543527635557612,1.0294678149745025,2.8249536873119956,1.0294678149745025,1.9543527635557612,0.11472231561422969,-0.1147223246624612,0.3202205251749283,-0.3202205251749283
12,stage3b,0.01806684701195444,0.013934389512252761,0.03530670512673817,0.04440599744073028,0.05451458564216427,1.5743534031657176e+74,5.5162794866824976e+73,7.4583104464717e+74,4.880214159402134e+70,1.5743533275267577e+74,0.03197616176911348,0.022892017939758636,0.058208984933146635,0.09424840852438676,0.13954522021002236,0.04602511406600969,1.6757817802974104,1.6695318770171474,-1.6695318770171474,0.04789007321598089,0.06750138725258205,0.05875133698133795,0.09863573540903037,0.14862740344090805,0.15670483034962435,True,1.7114255370261124,1.706862150605711,0.0010688046201314434,0.0010688046201314434,1.9430953504978972,1.028885824239217,2.805710674410025,1.028885824239217,1.9430953504978972,0.0010688046201314434,0.0010688046201314434,1.9430953504978972,1.028885824239217,2.805710674410025,1.028885824239217,1.9430953504978972,0.11008543514408133,-0.11008544265099796,0.3162904277687166,-0.3162904277687166
13,stage3b,0.008329998022427315,0.006017984030086423,0.014519864097569224,0.023864605356875516,0.031234515621151537,1.913537979962833e+74,6.704731034842085e+73,9.06553959589191e+74,6.248129693923894e+70,1.9135378779551222e+74,0.017458240647491182,0.011395377339298183,0.03163510663364022,0.06298926395807618,0.09050785305782205,0.04615575008150924,1.692096494897124,1.6844077712780283,-1.6844077712780283,0.047917382720994134,0.05383857586394172,0.046135239835522306,0.08758127437249885,0.11388556117302429,0.12024399202379366,True,1.724957232912031,1.7192883619703245,0.0011588155514809515,0.0011588155514809515,1.8512218138239056,1.0244242611111525,2.648636693425847,1.0244242611111525,1.8512218138239056,0.0011588155514809515,0.0011588155514809515,1.8512218138239056,1.0244242611111525,2.648636693425847,1.0244242611111525,1.8512218138239056,0.11521434060864935,-0.1152144267723684,0.2839096236540593,-0.2839096236540593
14,stage3b,0.02170862084743892,0.017816884205892163,0.04030415113192887,0.06206429185441554,0.0676802732282431,1.276206398555495e+74,4.4716197081782564e+73,6.045776046609746e+74,3.876009757196673e+70,1.27620633969569e+74,0.03522719929289279,0.024015479137950345,0.06647700744349105,0.10560561139411348,0.1494367849980267,0.04578215765741789,1.6995455389709417,1.6929732332935772,-1.6929732332935772,0.04793330324182476,0.07145684768747428,0.06208306897956511,0.10392195108232172,0.16953365944695206,0.18435437058649184,True,1.7409316584958947,1.735979404076401,0.0011092476170668623,0.0011092476170668623,1.8998229870068934,1.026749325564822,2.731863144494642,1.026749325564822,1.8998229870068934,0.0011092476170668623,0.0011092476170668623,1.8998229870068934,1.026749325564822,2.731863144494642,1.026749325564822,1.8998229870068934,0.1102322672324659,-0.11023226817881346,0.3010941829940549,-0.3010941829940549
15,stage3b,0.009454494063077917,0.006852817047320508,0.016417740946654064,0.025188148574332672,0.033464436118827656,1.5269167297445057e+74,5.3500728288476946e+73,7.233972606667454e+74,5.0559054725549563e+70,1.5269166460392836e+74,0.0198028959001562,0.01444738446232175,0.0374557934232702,0.06702901077933773,0.08281806777989864,0.04608627215411734,1.7240754109331753,1.7152981263151157,-1.7152981263151157,0.04786938775034801,0.05320479154583291,0.045761648434732925,0.08935269445486309,0.10744455381716513,0.1137045298164211,True,1.7573905699482275,1.750674558931923,0.0010890794186359165,0.0010890794186359165,1.9210402944549312,1.0277847318688218,2.768081052623122,1.0277847318688218,1.9210402944549312,0.0010890794186359165,0.0010890794186359165,1.9210402944549312,1.0277847318688218,2.768081052623122,1.0277847318688218,1.9210402944549312,0.11468382165677173,-0.1146838431293968,0.30855984547387666,-0.30855984547387666
16,stage3b,0.00981837114054613,0.007369500889596969,0.015190877538652892,0.026412131998135975,0.033455210026909876,2.2259945700523105e+74,7.799528965333195e+73,1.0545828854387062e+75,7.269425881114945e+70,2.2259944513535618e+74,0.019296535592260435,0.013607514817693945,0.0377096399308785,0.06546509351568405,0.06546912267261629,0.04599975455037449,1.727834271576353,1.7187092552515917,-1.7187092552515917,0.04790331452733462,0.05629242035435227,0.04829206697268069,0.0925703411906702,0.11716739298899699,0.12667350717982906,True,1.763341292515954,1.7564401569836208,0.0011410977483463087,0.0011410977483463087,1.868116052849475,1.025220623566431,2.6775905635613895,1.025220623566431,1.868116052849475,0.0011410977483463087,0.0011410977483463087,1.868116052849475,1.025220623566431,2.6775905635613895,1.025220623566431,1.868116052849475,0.11530425717744584,-0.11530433647643408,0.2898974743497761,-0.2898974743497761
17,stage3b,0.01035269687399895,0.008035937440253497,0.01662029110518426,0.026137325333621394,0.03257378580547399,2.2559773048978048e+74,7.904582924868319e+73,1.0687794376245735e+75,7.303000792947609e+70,2.255977186692223e+74,0.021627729460735323,0.016121673445722087,0.0411200745044189,0.0698957071651449,0.08300072993448993,0.04607522554024461,1.7373648951692073,1.7281845176292132,-1.7281845176292132,0.04790742750798071,0.06423295703777297,0.054526421370818874,0.09803565152705018,0.14510065302781153,0.16445345358681607,True,1.7715326667134674,1.7645655392196702,0.0010914087902243197,0.0010914087902243197,1.9185675042130212,1.0276619924379484,2.76385720111384,1.0276619924379484,1.9185675042130212,0.0010914087902243197,0.0010914087902243197,1.9185675042130212,1.0276619924379484,2.76385720111384,1.0276619924379484,1.9185675042130212,0.1148847324730822,-0.11488477279151386,0.30769150950221136,-0.30769150950221136
18,stage3b,0.01658095634567523,0.012934896413104184,0.022011311804583933,0.0543013475202957,0.06201391392935007,1.746769658412117e+74,6.120414730172426e+73,8.277582995637722e+74,-6.870473549583863e+70,1.7467695232958227e+74,0.023988265215204765,0.014706064925317954,0.05323897588198179,0.08250064016543063,0.09771945740170662,0.0459089218240704,1.7440630616412365,1.735587792694406,-1.735587792694406,0.04788650926832172,0.0590134201416137,0.05281894940864149,0.0834630375662131,0.12123912996691714,0.1225417540704572,True,1.7811445771851133,1.774691535409713,0.001140489275590095,0.001140489275590095,1.868637233918036,1.0252494965518446,2.6785019518709072,1.0252494965518446,1.868637233918036,0.001140489275590095,0.001140489275590095,1.868637233918036,1.0252494965518446,2.6785019518709072,1.0252494965518446,1.868637233918036,0.11506772779979482,-0.11508769278762641,0.290080310660604,-0.290080310660604
19,stage3b,0.010817850963362389,0.008201319827373255,0.01796232200165737,0.02702210190120072,0.03293563698537061,2.5277771826336755e+74,8.856925464512955e+73,1.197538540415274e+75,8.125015414573392e+70,2.527777052052789e+74,0.020612084866602032,0.014677196449051575,0.03944012004422559,0.07054849908925989,0.07062715279708787,0.04579127997060127,1.753966385322884,1.743807287169174,-1.743807287169174,0.047868714594884725,0.06127808879629458,0.052638013246294815,0.09781205604799204,0.13263180153061524,0.1474262766813239,True,1.7927839465962851,1.7851159902196632,0.001160641859475143,0.001160641859475143,1.8495182837862032,1.0243441290462454,2.645713239671404,1.0243441290462454,1.8495182837862032,0.001160641859475143,0.001160641859475143,1.8495182837862032,1.0243441290462454,2.645713239671404,1.0243441290462454,1.8495182837862032,0.1148898002167564,-0.11488977745440894,0.2833052319028555,-0.2833052319028555
20,stage3b,0.02352995873594262,0.016905234592175546,0.04385229141065306,0.07776814627165318,0.09240927308230606,1.4422363295313806e+74,5.0533653839062574e+73,6.832704494235448e+74,4.7051451890173794e+70,1.442236252781158e+74,0.03460283247690968,0.024849038462897828,0.05560272069221124,0.10973330572207585,0.1622956697579394,0.04555841107066881,1.765828532164599,1.75531593955009,-1.75531593955009,0.04791520780690703,0.08195277451950987,0.06952512011338698,0.1234531547719873,0.20821435707289632,0.21222287115261862,True,1.810095131378304,1.8025507661263527,0.0011124397966162712,0.0011124397966162712,1.8965752917385117,1.0265900423434728,2.726305036969877,1.0265900423434728,1.8965752917385117,0.0011124397966162712,0.0011124397966162712,1.8965752917385117,1.0265900423434728,2.726305036969877,1.0265900423434728,1.8965752917385117,0.11153623304346566,-0.11153614366432918,0.29995015072792885,-0.29995015072792885
21,stage3b,0.011762406343417714,0.009056170144569303,0.019946787076363437,0.027639447215022754,0.03107601938202853,2.816816523478748e+74,9.869673511588011e+73,1.3344779516170615e+75,9.10541201929729e+70,2.816816376311672e+74,0.0212720194709858,0.01569303252537176,0.037467112909893796,0.07206214366169107,0.08416859780000863,0.04574597944866681,1.7645376918028128,1.7537182876935864,-1.7537182876935864,0.047894623264762036,0.06364995748420989,0.0546817769589135,0.09969627266748571,0.13641876307900996,0.15577803105366073,True,1.8047884595842323,1.7965338472885468,0.001109720206167215,0.001109720206167215,1.899176625823909,1.0267276488652295,2.73080225048967,1.0267276488652295,1.899176625823909,0.001109720206167215,0.001109720206167215,1.899176625823909,1.0267276488652295,2.73080225048967,1.0267276488652295,1.899176625823909,0.11469119381371864,-0.11469124653350851,0.30086221138498315,-0.30086221138498315
22,stage3b,0.022550720121493874,0.01833775210256379,0.04522831694127216,0.05758850822328229,0.06781287450999618,1.756088103953335e+74,6.153050342107365e+73,8.319450887609498e+74,5.604531350932349e+70,1.756088014519404e+74,0.03343245567995777,0.022716326633706513,0.06297560701678329,0.1079361785621287,0.1500350023039645,0.04559500897940126,1.7700286614442093,1.7601056292243884,-1.7601056292243884,0.04788865843914182,0.0820280501758324,0.07051409101091424,0.12314703505515245,0.18316280447819908,0.1910011417861326,True,1.8128357497577077,1.8058577482834193,0.0011102443713629472,0.0011102443713629472,1.8986166060567897,1.026701735538361,2.729851018882059,1.026701735538361,1.8986166060567897,0.0011102443713629472,0.0011102443713629472,1.8986166060567897,1.026701735538361,2.729851018882059,1.026701735538361,1.8986166060567897,0.11253330038904766,-0.11253322712560013,0.3006642517261638,-0.3006642517261638
