Time,Channel A,Channel B
(s),(V),(A)

2.30169998,-0.16793799,0.43107158
2.30174998,0.08396900,0.39723796
2.30179998,0.16793799,0.40569636
2.30184998,-0.08396900,0.39723796
2.30189998,0.00000000,0.40569636
2.30194998,0.25221458,0.37189347
2.30199998,-0.08396900,0.36343503
2.30204998,-0.08396900,0.36343503
2.30209998,0.16793799,0.37189347
2.30214998,0.08396900,0.33809054
2.30219998,-0.08396900,0.34651819
2.30224998,0.16793799,0.37189347
2.30229998,0.16793799,0.38035187
2.30234998,-0.08396900,0.40569636
2.30239998,0.00000000,0.40569636
2.30244998,0.25221458,0.41415480
2.30249998,0.00000000,0.42261317
2.30254998,-0.16793799,0.43949926
2.30259998,0.08396900,0.41415480
2.30264998,0.08396900,0.43107158
2.30269998,-0.16793799,0.41415480
2.30274998,0.00000000,0.39723796
2.30279998,0.25221458,0.42261317
2.30284998,-0.08396900,0.41415480
2.30289998,-0.08396900,0.42261317
2.30294998,0.16793799,0.41415480
2.30299998,0.08396900,0.41415480
2.30304998,-0.16793799,0.40569636
2.30309998,0.00000000,0.41415480
2.30314998,0.16793799,0.40569636
2.30319998,0.00000000,0.40569636
2.30324998,-0.16793799,0.42261317
2.30329998,0.16793799,0.40569636
2.30334998,0.08396900,0.41415480
2.30339998,-0.16793799,0.40569636
2.30344998,0.00000000,0.38035187
2.30349998,0.25221458,0.37189347
2.30354998,0.00000000,0.37189347
2.30359998,-0.08396900,0.35497662
2.30364998,0.16793799,0.36343503
2.30369998,0.16793799,0.38035187
2.30374998,-0.16793799,0.41415480
2.30379998,0.08396900,0.41415480
2.30384998,0.16793799,0.43107158
2.30389998,-0.08396900,0.43107158
2.30394998,-0.08396900,0.43949926
2.30399998,0.16793799,0.43107158
2.30404998,0.08396900,0.43107158
2.30409998,-0.16793799,0.43107158
2.30414998,0.08396900,0.43107158
2.30419998,0.25221458,0.43107158
2.30424998,-0.08396900,0.41415480
2.30429998,-0.08396900,0.39723796
2.30434998,0.16793799,0.42261317
2.30439998,0.08396900,0.43949926
2.30444998,-0.08396900,0.41415480
2.30449998,0.08396900,0.40569636
2.30454998,0.25221458,0.41415480
2.30459998,0.00000000,0.40569636
2.30464998,-0.16793799,0.42261317
2.30469998,0.08396900,0.40569636
2.30474998,0.16793799,0.40569636
2.30479998,-0.08396900,0.39723796
2.30484998,0.08396900,0.38881031
2.30489998,0.25221458,0.38881031
2.30494998,0.00000000,0.36343503
2.30499998,-0.08396900,0.36343503
2.30504998,0.16793799,0.35497662
2.30509998,0.08396900,0.36343503
2.30514998,-0.16793799,0.36343503
2.30519998,0.00000000,0.37189347
2.30524998,0.25221458,0.39723796
2.30529998,0.00000000,0.40569636
2.30534998,-0.16793799,0.42261317
2.30539998,0.16793799,0.42261317
2.30544998,0.16793799,0.43107158
2.30549998,-0.08396900,0.43107158
2.30554998,0.00000000,0.43107158
2.30559998,0.16793799,0.42261317
2.30564998,0.08396900,0.41415480
2.30569998,-0.16793799,0.42261317
2.30574998,0.08396900,0.40569636
2.30579998,0.25221458,0.41415480
2.30584998,-0.08396900,0.42261317
