cycle_idx,final_stage_name,stage2_rmse,stage2_mae,stage2_p95,stage2_p99,stage2_max_abs,shape_drift_rmse,shape_drift_mae,shape_drift_max_abs,shape_drift_mean_signed,shape_drift_std_signed,stage3b_rmse,stage3b_mae,stage3b_p95,stage3b_p99,stage3b_max_abs,R0_stage3b,thetaZ_l2_norm,thetaZ_max_abs,thetaZ_c0,R0_stage2,stage3a_rmse,stage3a_mae,stage3a_p95,stage3a_p99,stage3a_max_abs,stage3b_available,thetaZ_stage3b_l2_norm,thetaZ_stage3b_max_abs,thetaA_hat_1,thetaA_hat_2,thetaA_hat_3,thetaA_hat_4,thetaA_hat_5,thetaA_hat_6,thetaA_hat_7,Dn_over_Rn2,Dp_over_Rp2,De_over_eps_L1_sq,De_over_eps_L12_intf_sq,De_over_eps_L2_sq,De_over_eps_L23_intf_sq,De_over_eps_L3_sq,thetaB_hat_8,thetaB_hat_9,thetaB_hat_10,thetaB_hat_11
11,stage3b,0.0092319956100778,0.0064751143496048,0.0188974827686267,0.0281541591247021,0.0376616652357046,1.7397213742819854e+74,6.095704373776515e+73,8.241954463745223e+74,5.588192389890147e+70,1.7397212845322836e+74,0.0189586929039601,0.013938506187165,0.0352942940142553,0.0623996839952628,0.076722087984685,0.0463985632696534,1.674346410652032,1.6679981272511382,-1.6679981272511382,0.0478753503679177,0.0485827089685135,0.0420826708887124,0.0762951873631643,0.0956974276948836,0.0964300096340232,True,1.7020503511808642,1.6972398937922988,0.0010585763221904,0.0010585763221904,1.9543527635557607,1.0294678149745025,2.824953687311996,1.0294678149745025,1.9543527635557607,0.0010585763221904,0.0010585763221904,1.9543527635557607,1.0294678149745025,2.824953687311996,1.0294678149745025,1.9543527635557607,0.1147223156142296,-0.1147223246624612,0.3202205251749283,-0.3202205251749283
12,stage3b,0.0180668470119544,0.0139343895122527,0.0353067051267381,0.0444059974407302,0.0545145856421642,1.5743534031657176e+74,5.5162794866824976e+73,7.458310446471699e+74,4.880214159402134e+70,1.5743533275267574e+74,0.0319761617691134,0.0228920179397586,0.0582089849331466,0.0942484085243867,0.1395452202100223,0.0460251140660096,1.6757817802974104,1.6695318770171474,-1.6695318770171474,0.0478900732159808,0.067501387252582,0.0587513369813379,0.0986357354090303,0.148627403440908,0.1567048303496243,True,1.7114255370261124,1.706862150605711,0.0010688046201314,0.0010688046201314,1.9430953504978967,1.028885824239217,2.805710674410025,1.028885824239217,1.9430953504978967,0.0010688046201314,0.0010688046201314,1.9430953504978967,1.028885824239217,2.805710674410025,1.028885824239217,1.9430953504978967,0.1100854351440813,-0.1100854426509979,0.3162904277687166,-0.3162904277687166
13,stage3b,0.0083299980224273,0.0060179840300864,0.0145198640975692,0.0238646053568755,0.0312345156211515,1.913537979962833e+74,6.704731034842085e+73,9.06553959589191e+74,6.248129693923894e+70,1.9135378779551222e+74,0.0174582406474911,0.0113953773392981,0.0316351066336402,0.0629892639580761,0.090507853057822,0.0461557500815092,1.692096494897124,1.6844077712780283,-1.6844077712780283,0.0479173827209941,0.0538385758639417,0.0461352398355223,0.0875812743724988,0.1138855611730242,0.1202439920237936,True,1.724957232912031,1.7192883619703243,0.0011588155514809,0.0011588155514809,1.8512218138239056,1.0244242611111525,2.648636693425847,1.0244242611111525,1.8512218138239056,0.0011588155514809,0.0011588155514809,1.8512218138239056,1.0244242611111525,2.648636693425847,1.0244242611111525,1.8512218138239056,0.1152143406086493,-0.1152144267723684,0.2839096236540593,-0.2839096236540593
14,stage3b,0.0217086208474389,0.0178168842058921,0.0403041511319288,0.0620642918544155,0.0676802732282431,1.276206398555495e+74,4.4716197081782564e+73,6.045776046609746e+74,3.876009757196673e+70,1.27620633969569e+74,0.0352271992928927,0.0240154791379503,0.066477007443491,0.1056056113941134,0.1494367849980267,0.0457821576574178,1.6995455389709415,1.6929732332935772,-1.6929732332935772,0.0479333032418247,0.0714568476874742,0.0620830689795651,0.1039219510823217,0.169533659446952,0.1843543705864918,True,1.7409316584958947,1.735979404076401,0.0011092476170668,0.0011092476170668,1.8998229870068932,1.026749325564822,2.731863144494642,1.026749325564822,1.8998229870068932,0.0011092476170668,0.0011092476170668,1.8998229870068932,1.026749325564822,2.731863144494642,1.026749325564822,1.8998229870068932,0.1102322672324659,-0.1102322681788134,0.3010941829940549,-0.3010941829940549
15,stage3b,0.0094544940630779,0.0068528170473205,0.016417740946654,0.0251881485743326,0.0334644361188276,1.5269167297445055e+74,5.350072828847695e+73,7.233972606667453e+74,5.0559054725549563e+70,1.5269166460392836e+74,0.0198028959001562,0.0144473844623217,0.0374557934232702,0.0670290107793377,0.0828180677798986,0.0460862721541173,1.7240754109331753,1.7152981263151157,-1.7152981263151157,0.047869387750348,0.0532047915458329,0.0457616484347329,0.089352694454863,0.1074445538171651,0.1137045298164211,True,1.7573905699482275,1.750674558931923,0.0010890794186359,0.0010890794186359,1.9210402944549312,1.0277847318688218,2.768081052623122,1.0277847318688218,1.9210402944549312,0.0010890794186359,0.0010890794186359,1.9210402944549312,1.0277847318688218,2.768081052623122,1.0277847318688218,1.9210402944549312,0.1146838216567717,-0.1146838431293968,0.3085598454738766,-0.3085598454738766
16,stage3b,0.0098183711405461,0.0073695008895969,0.0151908775386528,0.0264121319981359,0.0334552100269098,2.2259945700523103e+74,7.799528965333195e+73,1.0545828854387062e+75,7.269425881114945e+70,2.2259944513535616e+74,0.0192965355922604,0.0136075148176939,0.0377096399308785,0.065465093515684,0.0654691226726162,0.0459997545503744,1.727834271576353,1.7187092552515917,-1.7187092552515917,0.0479033145273346,0.0562924203543522,0.0482920669726806,0.0925703411906702,0.1171673929889969,0.126673507179829,True,1.763341292515954,1.7564401569836208,0.0011410977483463,0.0011410977483463,1.868116052849475,1.025220623566431,2.677590563561389,1.025220623566431,1.868116052849475,0.0011410977483463,0.0011410977483463,1.868116052849475,1.025220623566431,2.677590563561389,1.025220623566431,1.868116052849475,0.1153042571774458,-0.115304336476434,0.2898974743497761,-0.2898974743497761
17,stage3b,0.0103526968739989,0.0080359374402534,0.0166202911051842,0.0261373253336213,0.0325737858054739,2.2559773048978048e+74,7.904582924868319e+73,1.0687794376245735e+75,7.303000792947609e+70,2.2559771866922229e+74,0.0216277294607353,0.016121673445722,0.0411200745044189,0.0698957071651449,0.0830007299344899,0.0460752255402446,1.7373648951692071,1.7281845176292132,-1.7281845176292132,0.0479074275079807,0.0642329570377729,0.0545264213708188,0.0980356515270501,0.1451006530278115,0.164453453586816,True,1.7715326667134674,1.7645655392196702,0.0010914087902243,0.0010914087902243,1.9185675042130208,1.0276619924379484,2.76385720111384,1.0276619924379484,1.9185675042130208,0.0010914087902243,0.0010914087902243,1.9185675042130208,1.0276619924379484,2.76385720111384,1.0276619924379484,1.9185675042130208,0.1148847324730822,-0.1148847727915138,0.3076915095022113,-0.3076915095022113
18,stage3b,0.0165809563456752,0.0129348964131041,0.0220113118045839,0.0543013475202957,0.06201391392935,1.746769658412117e+74,6.120414730172426e+73,8.277582995637722e+74,-6.870473549583863e+70,1.7467695232958227e+74,0.0239882652152047,0.0147060649253179,0.0532389758819817,0.0825006401654306,0.0977194574017066,0.0459089218240704,1.7440630616412365,1.735587792694406,-1.735587792694406,0.0478865092683217,0.0590134201416137,0.0528189494086414,0.0834630375662131,0.1212391299669171,0.1225417540704572,True,1.781144577185113,1.774691535409713,0.00114048927559,0.00114048927559,1.868637233918036,1.0252494965518446,2.6785019518709072,1.0252494965518446,1.868637233918036,0.00114048927559,0.00114048927559,1.868637233918036,1.0252494965518446,2.6785019518709072,1.0252494965518446,1.868637233918036,0.1150677277997948,-0.1150876927876264,0.290080310660604,-0.290080310660604
19,stage3b,0.0108178509633623,0.0082013198273732,0.0179623220016573,0.0270221019012007,0.0329356369853706,2.5277771826336755e+74,8.856925464512955e+73,1.197538540415274e+75,8.125015414573392e+70,2.527777052052789e+74,0.020612084866602,0.0146771964490515,0.0394401200442255,0.0705484990892598,0.0706271527970878,0.0457912799706012,1.753966385322884,1.743807287169174,-1.743807287169174,0.0478687145948847,0.0612780887962945,0.0526380132462948,0.097812056047992,0.1326318015306152,0.1474262766813239,True,1.7927839465962851,1.7851159902196632,0.0011606418594751,0.0011606418594751,1.8495182837862032,1.0243441290462454,2.645713239671404,1.0243441290462454,1.8495182837862032,0.0011606418594751,0.0011606418594751,1.8495182837862032,1.0243441290462454,2.645713239671404,1.0243441290462454,1.8495182837862032,0.1148898002167564,-0.1148897774544089,0.2833052319028555,-0.2833052319028555
20,stage3b,0.0235299587359426,0.0169052345921755,0.043852291410653,0.0777681462716531,0.092409273082306,1.4422363295313806e+74,5.053365383906258e+73,6.832704494235447e+74,4.7051451890173794e+70,1.442236252781158e+74,0.0346028324769096,0.0248490384628978,0.0556027206922112,0.1097333057220758,0.1622956697579394,0.0455584110706688,1.765828532164599,1.75531593955009,-1.75531593955009,0.047915207806907,0.0819527745195098,0.0695251201133869,0.1234531547719873,0.2082143570728963,0.2122228711526186,True,1.810095131378304,1.802550766126353,0.0011124397966162,0.0011124397966162,1.896575291738512,1.0265900423434728,2.726305036969877,1.0265900423434728,1.896575291738512,0.0011124397966162,0.0011124397966162,1.896575291738512,1.0265900423434728,2.726305036969877,1.0265900423434728,1.896575291738512,0.1115362330434656,-0.1115361436643291,0.2999501507279288,-0.2999501507279288
