cycle_idx,stage2_rmse,stage3b_rmse,R0_stage2,R0_stage3b,thetaZ_l2_norm,thetaZ_max_abs,shape_drift_rmse,shape_drift_mae,shape_drift_max_abs,Dn_over_Rn2,Dp_over_Rp2,De_over_eps_L1_sq,De_over_eps_L12_intf_sq,De_over_eps_L2_sq,De_over_eps_L23_intf_sq,De_over_eps_L3_sq
248,0.3286333926351768,0.3975310609549677,0.046397401450385706,0.033237612595412275,3.8716810112318325,3.354815930488217,9.769807911205597e+58,3.423394325103767e+58,4.658842068834415e+59,0.0007527229936231121,0.0007527229936231121,2.431552749710251,1.0587745256300858,3.634158450834437,1.0587745256300858,2.431552749710251
249,0.3259351427165724,0.40696095206420113,0.04686337856375456,0.03347103686604552,3.8722914576303005,3.3426450949196704,1.5207442320376783e+58,5.328806537168284e+57,7.307557687608855e+58,0.0008214711856132022,0.0008214711856132022,2.293769442443867,1.0494011855333292,3.4014720840254236,1.0494011855333292,2.293769442443867
250,0.3530579338960632,0.4158825506709835,0.04710765107876017,0.03345708078931318,3.8259870019293643,3.352311526258599,1.9006856428652903e+59,6.660020943435747e+58,9.04635086952222e+59,0.0009486486767921156,0.0009486486767921156,2.090478207034773,1.0369260215128084,3.0569929853908517,1.0369260215128084,2.090478207034773
251,0.32163836112270433,0.39895367204001164,0.04726867839559978,0.033746887981823355,3.8821034558305816,3.3494347321450038,3.4322191275051546e+58,1.2026807157546101e+58,1.640808630776111e+59,0.0007931105773652384,0.0007931105773652384,2.3477795308739737,1.0529898441316818,3.492747006734967,1.0529898441316818,2.3477795308739737
252,0.2931192937713723,0.35166720027746706,0.047951140814899006,0.034654685243837934,3.4349129343019738,2.9158337088728916,1.7262466080557342e+59,6.048795231773054e+58,8.217922653013804e+59,0.0009696408011179008,0.0009696408011179008,2.0619966155760165,1.0353100366372925,3.0085721236345875,1.0353100366372925,2.0619966155760165
253,0.27410443306380056,0.3049980246708588,0.050811756327126006,0.03727918795228624,3.0739085688141854,2.579806595894147,3.5387485378920138e+59,1.239987533386953e+59,1.6854764397084296e+60,0.0008722655016523542,0.0008722655016523542,2.2056844596376695,1.043788747849112,3.2523912222015214,1.043788747849112,2.2056844596376695
254,0.25782089190638746,0.26830543148445046,0.05231067375500775,0.03856657658728531,2.855274393332934,2.3755149272817295,4.31961808083275e+59,1.5136081445696304e+59,2.0577318667669774e+60,0.0008777284780626212,0.0008777284780626212,2.1967216480681455,1.043239490152359,3.237231030280757,1.043239490152359,2.1967216480681455
255,0.20985604440455774,0.25027290880357866,0.05192348788807567,0.03877640239673413,2.9647172443971934,2.4440083477467107,1.407637669229234e+60,4.932402567449471e+59,6.704499393121476e+60,0.0008605328902263742,0.0008605328902263742,2.2250741819361086,1.0450008186854347,3.2852470655984582,1.0450008186854347,2.2250741819361086
256,0.2575921619967618,0.27902721802166375,0.05106924421923572,0.03781958449440156,2.9437294719830582,2.4693736280960326,3.5913076258139586e+59,1.2584057198403348e+59,1.71077054163846e+60,0.001061290001623604,0.001061290001623604,1.9505703898978493,1.029320266377168,2.818706029494539,1.029320266377168,1.9505703898978493
257,0.2519802941490072,0.2749542231755868,0.050001984264901066,0.036489588644934,3.0821199128624652,2.593117862897653,9.461034134710594e+59,3.3151730659954842e+59,4.506180061284348e+60,0.0009946059540353641,0.0009946059540353641,2.0296153399764805,1.0335167335272586,2.9534817606620516,1.0335167335272586,2.0296153399764805
258,0.2701603339842542,0.2985405447492126,0.04883853487664905,0.03570522311026308,3.115231095461326,2.648797529953577,1.5144139084112678e+59,5.306546105790359e+58,7.212412002283395e+59,0.0010748680275449564,0.0010748680275449564,1.935613749785798,1.0285591479801235,2.793169360321788,1.0285591479801235,1.935613749785798
259,0.28881170332448425,0.315156836223089,0.04722598886349779,0.03460089811597927,3.2613581258751423,2.8014058797173718,1.7399616365704927e+59,6.09687412582468e+58,8.287130637745342e+59,0.0009478500240064181,0.0009478500240064181,2.0916117381820873,1.036989560904438,3.058911749272883,1.036989560904438,2.0916117381820873
260,0.27576746990108725,0.3293720605990338,0.04719079393971972,0.03414149433558843,3.302840209906396,2.8126332146648227,3.540745636878786e+59,1.2406861039183626e+59,1.6861951990619045e+60,0.0008855062100158878,0.0008855062100158878,2.184255530749125,1.042475026048303,3.216108172400734,1.042475026048303,2.184255530749125
261,0.2814469072138302,0.3364227573162596,0.046446694667848586,0.03376304674409956,3.3655156664242707,2.883566090112987,2.77515992899453e+59,9.724226563907957e+58,1.3215463038499832e+60,0.0009773113304489755,0.0009773113304489755,2.0518977548471207,1.0347446659819264,2.9913904713179194,1.0347446659819264,2.0518977548471207
262,0.27793716985628353,0.33864980065116335,0.046182195742266945,0.03334748054542909,3.3784195989937675,2.892982473960976,3.3337056336053432e+59,1.1681383965630093e+59,1.5875267294857398e+60,0.000980956090323148,0.000980956090323148,2.0471052090010584,1.0344806940778217,2.9832487527577567,1.0344806940778217,2.0471052090010584
263,0.27763914872792905,0.33108167570173186,0.0463964984976314,0.033487159818880494,3.3405701234117013,2.855427548918945,3.1434586559376295e+59,1.1014755058897173e+59,1.4969496799912447e+60,0.0009341448522106803,0.0009341448522106803,2.11092254723767,1.0381048557818806,3.091715100944232,1.0381048557818806,2.11092254723767
264,0.27424235957954113,0.3373986128051384,0.04627357450463538,0.03348067507459869,3.356506967893461,2.8749023443729027,3.405922900484333e+59,1.1934438144325568e+59,1.621976710294112e+60,0.0009740598101891291,0.0009740598101891291,2.0561441836770684,1.0349827788231232,2.998620262515549,1.0349827788231232,2.0561441836770684
265,0.2627674106865736,0.2993829922421577,0.046046297117789396,0.033444941562368644,3.3725309952094835,2.9114902192960352,7.304014403612389e+59,2.5593483661965415e+59,3.479030536196185e+60,0.0009413649579248681,0.0009413649579248681,2.1006828932807324,1.037511413641382,3.0743225473090727,1.037511413641382,2.1006828932807324
266,0.2685432411847195,0.3300137138630904,0.045952624092932236,0.03319167894050705,3.3612165112895336,2.885084851980235,3.107387426066086e+59,1.0888360841655933e+59,1.4797765325668717e+60,0.0011562660700098772,0.0011562660700098772,1.8535494292179924,1.0245375103901602,2.652646951408117,1.0245375103901602,1.8535494292179924
267,0.2701620703211681,0.3312299370984701,0.04546993826281485,0.03298428454094213,3.397859951013924,2.927652852570811,2.255132884244662e+59,7.902034916659039e+58,1.0738229657366352e+60,0.0011017702524329389,0.0011017702524329389,1.9072151264387778,1.0271311408018229,2.744590460948781,1.0271311408018229,1.9072151264387778
268,0.2736283779476227,0.3359271540892215,0.045274520813832604,0.03287072186084522,3.4149801448405217,2.947264215672217,1.067956057008663e+59,3.7421264174181566e+58,5.082619356142018e+59,0.0008123419266014774,0.0008123419266014774,2.310843082166652,1.0505188406745072,3.430308285692476,1.0505188406745072,2.310843082166652
271,0.1530178052856296,0.22820290981548286,0.03567441984576129,0.02694502564466488,6.266686551326883,6.113829294954643,8.91694225930966e+59,3.1245353805683465e+59,4.2498219403404094e+60,0.0008905300027580528,0.0008905300027580528,2.176342019137157,1.0419915795057526,3.202688615824442,1.0419915795057526,2.176342019137157
272,1.2684241350197225,1.1812830987253853,0.03068891462930899,0.038000956984229874,3.773297711892113,3.4791724147357006,8.91694235418274e+59,3.1245354140663766e+59,4.249822037898781e+60,0.0011080264450807865,0.0011080264450807865,1.900761373661639,1.0268142089463117,2.7335542386508163,1.0268142089463117,1.900761373661639
